b_no	r_no	agegroup	name	birth	seat
5933	6893	1	Sobong NaHam	1999-01-06	C07
5934	27295	1	Beon RuIn	1983-07-10	C03
5935	34165	1	Eogeum RyuNoe	1982-06-03	C08
5936	25940	1	Ryu RyuChoe	1984-05-22	D09
5937	48299	2	Pyeon WangBok	2018-05-29	B04
5938	11490	1	Tu BingKwae	1980-04-26	D04
5939	11900	3	Kwae KimYu	2022-08-11	B04
5940	20589	1	Sam ByeonNam	1980-07-27	D04
5941	52	1	Mae HaeJeon	1976-08-06	E02
5942	17424	1	Sip KuMae	2010-02-17	C10
5943	37993	1	Tang NangJeom	1954-09-20	E09
5944	13344	1	Hwang TaeBan	1998-02-27	C02
5945	31260	1	Hwa SeoJeong	2008-03-21	C01
5946	31774	2	Ja EoTon	2020-06-10	E06
5947	32236	1	Ro MyoKok	2000-12-02	C04
5948	3494	1	Seomun RyuKil	1975-06-23	B10
5949	6774	1	Jeon JinYa	1983-03-28	A10
5950	46248	1	Nu MubonBu	1986-04-12	A03
5951	30543	1	Sim JiYeop	1978-01-17	E06
5952	35410	1	Na HwangboSin	1951-10-14	B03
5953	42739	1	Wan TangRo	1981-08-02	D03
5954	23975	1	Seon BakBo	1968-08-05	B09
5955	13928	1	Deungjeong WanChoe	1955-02-23	B01
5956	9676	1	Min YoRim	1977-10-15	A04
5957	42440	1	U JuTang	1962-04-28	A07
5958	41809	1	Ye WonByeon	2003-01-30	E10
5959	49727	1	Kung HwanMok	1976-01-19	C02
5960	17810	1	Kwan HwangNoe	1994-08-10	E01
5961	31337	1	Ta BongMuk	1999-01-31	A10
5962	35396	1	Deungjeong BoCheon	2002-11-26	B05
5963	18804	1	Kong JangTae	1973-05-22	C01
5964	15113	1	Ra KwakSeo	1973-11-19	A02
5965	4485	1	Muk SeoMubon	1978-01-12	E04
5966	724	1	Deungjeong YunUn	2015-03-02	B09
5967	48432	1	Ro RiSin	1996-07-24	D09
5968	23057	2	O OkRoe	2017-07-02	C07
5969	23464	1	Jeung JinSeung	1972-02-02	C03
5970	18961	2	Ryang TonMok	2019-12-12	A05
5971	46156	1	No NaKwak	1984-09-06	B03
5972	17454	1	Mo HoBang	1968-01-13	B04
5973	42175	2	Tan YangGyeong	2017-08-10	E05
5974	40469	2	I HeoPyo	2018-11-05	B03
5975	32944	1	Ku NamgungJeo	1967-12-13	A02
5976	37610	1	Ro ManKwae	2006-08-25	B07
5977	7379	1	Yuk GwokTae	1997-05-19	E09
5978	14716	1	Hae InPyo	1968-10-11	D01
5979	33669	1	A MyoKang	1977-11-26	B07
5980	32074	1	Ryeom YeonNa	2000-12-11	E07
5981	38320	1	Jegal BingChu	1986-11-02	E09
5982	15189	1	Yeo EomRyu	1984-01-29	E02
5983	5611	1	Jeon BokJi	1958-12-22	A04
5984	13452	1	Bo TanHyeon	1988-03-06	C09
5985	49494	1	Kung TanTok	2006-08-26	D03
5986	8321	1	Seok GeumKwae	2005-06-14	B01
5987	31252	1	Ok MuHeo	2004-10-07	A07
5988	9104	2	Kwan JeonHeo	2019-05-08	B07
5989	12691	1	Nae SoJwa	2010-08-03	D03
5990	5471	1	Tongbang TaCho	2000-04-13	E08
5991	33708	1	Ko HakKan	1998-11-25	B08
5992	7652	1	Ban SimBeon	1963-03-05	D08
5993	17550	1	Yeop YeopSeong	2004-01-29	C03
5994	49978	1	Min SobongBan	1998-12-27	C06
5995	42230	1	Mun MokHong	1951-02-21	E08
5996	25078	2	Ryang NamgungKa	2019-03-30	A02
5997	10878	1	Im NoNo	1974-05-08	C01
5998	39111	1	Nan JeOn	1988-01-03	E07
5999	38642	1	Beon KaeAe	2001-07-16	B09
6000	910	2	Ho KamRan	2020-10-08	C06
6001	37226	1	Jo KalChong	1995-07-17	B01
6002	11266	3	Po JeongEum	2022-10-12	E05
6003	29961	1	Kwae KangjŏnHyeong	2014-09-19	D09
6004	39985	1	Tongbang KyeSeol	2001-12-17	D06
6005	17070	1	Tongbang JwaMyeong	1957-11-27	E06
6006	33256	3	Jeon YuHae	2021-09-28	B02
6007	5822	1	Bok TaTok	1995-09-19	D03
6008	24052	1	Myeong HyeonJeup	1974-07-31	A01
6009	3639	1	Sip BinKuk	2000-10-10	B03
6010	5221	1	Wi KyoMae	1993-10-22	B07
6011	32840	2	Wi OngWang	2019-06-26	E03
6012	36515	1	Tam RoeMyeong	2002-08-05	A09
6013	29247	1	Hwa NaSeomun	2005-04-28	E07
6014	6167	1	Seonu HwangmokHong	1965-12-03	C02
6015	30565	1	Mubon RanBok	1968-07-09	A06
6016	37772	1	Kangjŏn BuSi	1965-08-09	D10
6017	4306	1	Bu InYu	2006-09-21	A07
6018	15777	1	Rim ChangSeong	1950-07-15	E06
6019	20221	1	Kuk ChongBong	1983-02-04	C01
6020	22502	1	Muk KungRu	1963-12-22	C09
6021	481	3	Yuk NangSong	2021-07-23	C08
6022	15762	1	Wan KoHong	1982-03-06	D05
6023	2427	1	Pil MinYong	1959-04-25	C04
6024	32415	1	Gwok RyeomSeon	2002-03-04	E07
6025	33446	1	Myo RyuRoe	1976-04-12	C10
6026	47694	1	O KyoPil	1976-06-11	E05
6027	24506	1	Hu JeupKae	1996-05-30	A03
6028	1914	1	Hwa MubonJeung	2012-07-31	D02
6029	26554	1	Ka JangSeonu	1958-02-22	E07
6030	35057	1	In OkJeong	1999-09-13	E02
6031	45727	1	Pan HwanNoe	1966-12-28	E01
6032	41158	1	Sin KilSeung	2012-08-29	B01
6033	976	1	Seung KalRan	1984-09-01	C02
6034	19275	1	Hyeon NanAn	1988-01-09	E01
6035	17180	1	Gwon MyeongKwae	1994-11-13	C05
6036	10745	1	Seonu BongJeom	1979-06-17	D07
6037	5132	1	Sip JuHwangbo	1992-12-19	C08
6038	19978	1	Tu WanJun	1967-11-05	A04
6039	42652	1	Chae OngRa	1963-02-19	E05
6040	7807	1	Su SangYong	1951-09-06	D09
6041	23462	1	O NaeHyeong	2014-02-10	D08
6042	17882	1	Nam KuHong	1985-04-17	A04
6043	33935	1	Sim BeomWang	1959-05-15	D09
6044	23224	1	Ka NoMyeong	2003-04-12	B02
6045	4160	1	Yeom YeongHwang	1962-08-04	D04
6046	8930	1	Jeo KukTak	1973-10-03	D05
6047	32192	1	Ki BeomCha	1958-01-29	D09
6048	49150	1	Seok YeoBo	1959-02-10	E06
6049	20484	1	Ro SeolYe	1956-05-02	C05
6050	28796	1	Kye HanHu	1996-04-11	B02
6051	24074	1	Kwak RyangSi	2002-01-25	B10
6052	49702	1	Heung MaeMu	1973-10-05	C03
6053	1569	1	Ri JwaTokko	2004-08-05	B09
6054	29848	1	Chun SeoHan	1969-03-21	A05
6055	41984	1	Bi WangGyeong	2005-01-27	A05
6056	36249	1	Seung YuHam	1952-11-24	A09
6057	21121	1	Seonu MoTan	1961-01-16	E05
6058	32766	1	Ma GyeonSan	1955-05-18	E05
6059	16401	1	Seop HwangmokAn	1960-07-26	E03
6060	11291	1	Bong NangPyeon	1954-09-17	A02
6061	17717	1	Seomun RuCha	1959-07-25	C10
6062	48726	1	Man RyeomKwae	1978-04-06	B02
6063	36921	2	Jun NaeRang	2018-07-20	A03
6064	26327	1	Hu HyeonOn	1984-12-25	B08
6065	36996	1	Yun YeKim	1991-10-18	C06
6066	801	1	Je ChongSim	1993-01-31	A02
6067	25442	1	So SimGeun	1952-01-18	B02
6068	10523	1	Ju TongbangKun	1993-06-19	E02
6069	37111	1	Won HaeJo	1997-09-29	B05
6070	30498	1	Deungjeong WangRyuk	1984-10-22	B08
6071	48350	1	Ban JoKwae	1978-08-16	C09
6072	7607	1	Janggok ARi	1970-03-26	B03
6073	17745	1	Tak ChangYa	1958-01-29	A01
6074	37877	1	Song CheonGwon	1972-02-28	E09
6075	23172	1	Beom JegalChu	1954-04-19	B04
6076	49664	1	I MaTo	2008-10-17	C03
6077	19358	1	Beon JoKal	1983-03-22	D07
6078	41442	1	Man YeopRu	1961-05-28	A07
6079	15316	1	Jeon SagongWi	2002-01-27	B10
6080	26730	1	Seol RoNoe	1983-01-04	E10
6081	14396	1	Kim TanChae	1962-11-09	B08
6082	20054	1	San ChoNae	1966-10-15	E03
6083	37286	1	So BingBok	1962-09-29	E06
6084	12136	1	Ma MyoSi	2006-02-13	B02
6085	24291	1	Sam SiBan	2001-10-30	B01
6086	41622	1	To KyoHyeon	1986-06-23	C07
6087	42066	1	Pyeong HwaYang	1954-01-16	D04
6088	45011	1	Nang BanJang	1989-09-26	C04
6089	19844	1	Bi JoSu	1980-03-15	A01
6090	1220	1	Wang YunRi	1989-07-02	C08
6091	44159	1	Pan BeonYe	1986-04-29	E07
6092	18838	1	Un TonEogeum	1999-10-11	A03
6093	10010	1	Namgung TokKo	2004-05-05	B08
6094	44085	1	Jegal HamYong	1953-03-13	D04
6095	25989	1	Sobong KaSeo	2010-12-21	E05
6096	2686	1	Kang NoTokko	1994-04-16	D07
6097	35219	1	Hwang BingNamgung	1983-01-18	C10
6098	24782	3	Heung WiCho	2021-12-01	C07
6099	46254	1	Jwa YuHyeon	1970-05-20	C07
6100	31904	1	Jong KunRu	2014-06-22	D10
6101	25831	1	Kae KoRyang	1950-07-21	B10
6102	10382	3	Jegal SeokMun	2022-05-16	D01
6103	16177	1	On MoPaeng	2003-01-18	D05
6104	37627	1	Tong TokYuk	2007-04-22	C04
6105	18140	1	Sun BaekHwangmok	1995-04-06	B07
6106	2706	1	Tok IHo	2006-02-17	A03
6107	38152	1	Bae UChae	1998-06-29	B02
6108	35779	1	Mi RaKok	2007-04-18	D05
6109	39573	1	Hwa YangYong	2009-07-21	E05
6110	8115	3	Tam MuMae	2021-11-20	D01
6111	3020	1	Kwae OnKa	1963-11-26	D04
6112	42022	1	Sa HyeongNo	1985-12-03	D01
6113	47606	1	Kwan GeumOn	2003-07-23	D07
6114	548	1	Tan MyeongTak	1964-05-17	E03
6115	7867	1	Tam YukTan	1957-07-25	A07
6116	40949	2	Song MunUn	2017-06-23	B05
6117	29151	1	Ya PiPil	1987-09-20	E08
6118	48189	1	Ju KwanDeung	1979-04-02	A05
6119	7425	1	Ae AnKuk	1980-07-26	E06
6120	2418	1	Bak TaeMun	1956-10-20	A08
6121	31531	1	Sim JunJe	1988-05-05	B05
6122	47670	1	Chun KungKil	1977-09-24	C01
6123	29403	1	Han SoPyeong	1968-11-09	C03
6124	15885	1	Kal ChaRi	1964-02-18	D01
6125	4210	1	Jin ManYeop	2013-01-19	E02
6126	9386	1	Eom SeopSin	1971-07-05	E09
6127	2385	1	Wan PaengSon	1985-05-27	A07
6128	18450	1	Hwan SeopTu	1962-11-26	A06
6129	41636	1	Kam SeomunPan	2014-04-13	B10
6130	21660	1	Namgung NoeJeup	1962-04-22	A05
6131	34018	1	Bo WangHu	1995-08-28	A04
6132	29680	1	Byeon TanBong	2008-07-01	B03
6133	40893	1	Yeong BaekSu	1954-08-03	B04
6134	32461	1	Po KamBeom	1955-09-08	E09
6135	38538	1	Cho MyoNamgung	1976-05-27	E10
6136	8597	1	Myo MiNang	1950-07-26	A09
6137	29876	1	Jun HeungDeung	1959-06-12	C05
6138	8967	3	Beom EunKam	2022-07-21	D04
6139	33632	1	Sagong KangjŏnYeon	1968-04-19	C03
6140	13786	1	Ong OkPo	1953-08-18	B03
6141	30345	2	Jin BoSeo	2017-10-31	D04
6142	18894	1	Tokko SaKu	1965-08-03	D07
6143	18555	1	Ham YaSan	1959-04-07	B03
6144	15290	1	Gyeong HwaYeon	2011-06-09	A10
6145	21273	3	Rang RoTo	2022-06-07	B02
6146	26924	1	Mangjeol NaKang	1970-11-25	C09
6147	37297	1	Hwan SunKae	1988-10-10	D04
6148	20330	1	A GeunKal	2012-09-03	C01
6149	31947	1	Yeong InNa	2005-05-24	C08
6150	16137	1	Tae RoSeonu	1983-07-01	A10
6151	24467	1	Nae HuSon	1956-08-11	C08
6152	29929	1	Myo GeumChoe	1972-11-06	A05
6153	46015	1	Ta KanBak	2003-08-15	E07
6154	31538	1	Hwa KwaeRang	1953-02-02	B05
6155	34620	1	Kam WanHwan	1967-07-14	E05
6156	33432	1	Gwon RoSan	1956-01-14	A08
6157	14984	1	Kan RyeoHu	1993-10-23	C02
6158	32870	2	To WanMok	2020-05-23	A05
6159	47774	1	Geum BoSang	1982-01-26	B05
6160	22888	1	Eun GeumKam	1990-10-07	E05
6161	30979	1	Tan YuNamgung	1981-02-26	B07
6162	2490	1	Heo PyeongBu	1972-06-18	A05
6163	47095	1	Kye JegalBak	1998-03-15	E07
6164	4385	1	Tang YeonPi	1999-05-31	B04
6165	20694	2	Mangjeol HuWon	2020-08-30	E10
6166	273	1	Tan MunKye	1954-08-08	D08
6167	23093	1	Seo JeomPi	1972-05-24	B02
6168	22327	1	Gwon SobongWi	1995-11-09	D06
6169	16960	1	Ran KanGwon	2008-07-14	C01
6170	47347	1	Jeo AnTa	2010-05-10	E05
6171	21998	1	Gwon JaTok	1969-12-14	B09
6172	19353	1	Yeo PyoBin	1991-06-29	C07
6173	10104	1	Jeung JanggokWi	2001-12-28	B03
6174	6266	1	Mubon MubonEo	1951-09-20	C03
6175	14269	1	Nan YukBing	1988-10-21	A01
6176	17448	1	Geun PyeonHam	2007-05-08	C06
6177	5838	1	Wang NoMo	1957-07-18	C09
6178	27265	1	Bong EunKa	2010-05-26	C01
6179	14089	1	Ae HeoSeung	1972-04-08	D01
6180	9680	1	Un JuRan	2012-03-19	A05
6181	43030	1	Sun IKan	1985-07-25	B08
6182	35027	1	Namgung AAe	1975-08-29	B08
6183	4530	1	Cheon JoKal	1965-10-26	A06
6184	48966	1	Im MangjeolKae	1994-05-07	A07
6185	29980	1	Yu YunJong	1995-02-16	A08
6186	40593	1	Kim HwangmokRo	1952-07-09	B07
6187	22877	1	Tae GyeonSi	1972-09-19	D06
6188	24088	1	Seon ChoeBong	1989-07-09	E04
6189	2945	1	Ryang SoTang	1966-07-26	D04
6190	44049	1	Wi DeungjeongRan	1983-07-25	A07
6191	14013	1	Beon YuRu	1954-02-02	B10
6192	17424	1	Muk HyeongRi	2000-04-05	D07
6193	6061	1	Paeng WiPung	1974-02-18	C06
6194	30407	1	Tan KongBo	1972-09-28	D03
6195	42910	1	Myeong EoMyo	1984-09-21	E09
6196	31900	1	Pil JongTa	1952-03-22	C02
6197	15637	1	Bang JeonRa	2002-08-06	A04
6198	2173	1	Tam EogeumMyeong	1952-03-12	C03
6199	47246	1	Jo SipBeom	1976-04-20	D03
6200	16600	1	Kim ByeonSi	1963-04-05	E04
6201	26123	1	Kong TaeIm	1979-01-06	D01
6202	5512	1	Kal OSon	1968-11-06	A01
6203	39360	1	Sip SonSi	2001-12-26	A07
6204	1963	1	Min SonTu	1984-10-10	B04
6205	31398	1	Tan TonBo	2003-05-29	A06
6206	21697	3	Kang NangYa	2022-08-28	B03
6207	49922	1	Kyo TakNan	2016-11-11	A01
6208	36991	1	Tong TanYu	1958-06-18	E07
6209	16240	2	Wi SeoEun	2019-06-25	D02
6210	39596	3	Jwa ChangBang	2021-08-06	C06
6211	21005	1	Hwang KungSagong	1969-07-23	E10
6212	584	1	Nan OngJeon	1995-11-21	D07
6213	44627	1	Sang ChangAn	1955-04-19	A06
6214	19413	1	Sa MyoRang	1988-11-20	D09
6215	3160	1	Bak RoHong	1954-06-16	B06
6216	28045	1	Han MukPi	1985-12-30	E02
6217	16801	1	Im JunYeon	1993-02-21	C06
6218	46617	1	Je BaekMyo	1987-07-26	C09
6219	6260	1	Jeup HakMi	1965-10-14	C05
6220	5313	1	Yong OkKu	2009-04-07	C06
6221	36940	1	Yang JegalWan	1969-07-02	A06
6222	7240	1	Heo NangRi	1995-06-19	B05
6223	41002	1	Sim JegalIn	1986-07-02	C01
6224	42030	1	Cha OnMa	1996-08-26	A02
6225	21776	1	Sun SeomunHeo	1968-11-24	E10
6226	31622	1	Ku HaHu	1951-08-02	C01
6227	13802	1	Pung BiTong	1977-10-06	D04
6228	42116	1	Won BongNo	1983-03-02	D01
6229	45275	1	To ChongBeom	1988-11-14	E05
6230	38026	1	Jeon HuHan	2000-01-19	B09
6231	34785	1	Deungjeong EunJeo	2009-09-28	A06
6232	1022	1	Kwae JongSo	1970-06-03	B03
6233	8317	1	Eogeum RyangJeong	1966-10-27	C04
6234	48810	1	Bo GyeongGwon	1982-03-07	B05
6235	29068	1	Bok MiChu	1985-08-18	D06
6236	961	1	Yuk TaeEom	1996-10-11	D08
6237	47156	1	Janggok SiRyuk	1987-09-01	A01
6238	29536	1	Mangjeol HeungMok	1950-02-09	B04
6239	41369	1	Kong TonJeong	2005-09-10	E05
6240	17811	1	Hwang KongKi	2014-05-20	D05
6241	42422	1	Gyeong BakSim	1985-03-25	C02
6242	24168	1	Kuk MuMok	1979-10-01	B10
6243	39629	3	On AJin	2021-10-02	A06
6244	8162	1	Ma JeonO	1971-09-08	E02
6245	20189	1	Eogeum BingSam	1971-02-25	E01
6246	48933	2	Kwan JoMaeng	2020-01-20	E07
6247	45782	1	Jin HuChong	1964-02-14	D07
6248	5765	1	I SobongBong	1979-02-27	D02
6249	31345	1	Bong WonRan	2015-09-22	D10
6250	16470	1	Wang HwangboKyo	2011-07-06	B05
6251	35227	1	Hwangbo SiDeung	1974-01-27	C01
6252	36670	1	Kong KyeHa	1958-04-19	C10
6253	23930	1	Tu YeongTan	2012-09-09	D04
6254	39849	1	Baek JaAn	1991-03-03	D04
6255	49401	1	Kwak RyuBin	2000-02-18	B07
6256	37537	1	Ja HuJang	1997-01-22	E01
6257	29247	1	Hwa HyeongSun	1958-07-04	D08
6258	5197	1	Kangjŏn JeonYuk	2003-11-06	C08
6259	36868	1	Ong MokPan	2015-08-07	A07
6260	9070	1	Hyeong TanSeong	1999-11-28	E05
6261	17860	1	Ryeom TangTae	2003-05-02	B09
6262	2469	3	Pil HwangboMyo	2022-12-11	A02
6263	27509	1	Jeon HwangboBin	1986-01-05	C03
6264	26319	1	Hu YaHae	1975-03-23	D08
6265	27936	1	Jin JegalMyeong	1997-01-15	E01
6266	45204	1	Eogeum EoKal	1962-08-01	D02
6267	18740	1	Yo HaSi	1996-09-28	A10
6268	30408	1	Pyeon HyeongChu	1995-05-18	A04
6269	10377	1	Po KwanRyu	1989-03-16	B02
6270	2994	1	Mi JinHwang	1971-10-23	E09
6271	38212	1	Geum ChaKwan	1976-03-19	B07
6272	29091	1	Son TanCho	2009-05-10	D02
6273	39922	1	Ko SuPi	1978-03-18	B03
6274	25975	1	Cho HwangboPyeong	2009-09-12	C08
6275	8385	1	Hyeong JiMi	1978-12-15	B05
6276	30299	1	Jegal JeonSim	1989-09-03	C01
6277	2063	1	Tak HaeBaek	2000-07-22	A04
6278	27230	1	Jo MukTo	1955-01-12	E06
6279	6767	1	Tang HwangmokBak	1991-12-22	D04
6280	31001	1	Kok ABeon	1982-11-05	A10
6281	31786	1	To MaengHo	1979-05-06	A08
6282	5150	1	Baek YeomHwa	1994-07-31	D03
6283	10792	1	Seop GwonJeung	2011-10-03	D05
6284	10018	1	Gyeong KangTan	1994-03-13	B04
6285	11365	1	Mok HakIm	1984-02-11	E02
6286	533	2	Gwok WiCho	2019-01-03	B03
6287	41698	1	Jun TangPaeng	1983-09-04	C04
6288	4665	1	Cha BoTongbang	2006-02-17	B02
6289	8154	1	Ton GwokTang	2015-01-08	A07
6290	15618	1	Sip ChunMaeng	1985-09-12	A07
6291	34427	1	O KyeYeom	1976-03-20	C01
6292	28055	1	Pan TonJeung	1959-07-23	A01
6293	9358	1	Noe TokEo	1984-10-16	B03
6294	47855	1	Chang BaeHan	1973-02-13	C07
6295	45376	1	Pyo HaKan	1996-08-27	B03
6296	21538	1	O SeolPaeng	1977-12-11	C03
6297	27813	1	O SaRyeom	1968-09-19	D02
6298	35841	1	Nae MinChoe	1963-04-11	A01
6299	35936	1	Seol YuKwan	2011-11-05	C04
6300	10132	1	Ta RuYuk	2003-06-14	D10
6301	13946	1	Ok RyangBak	2012-07-11	C02
6302	45624	1	Seung YunGwon	1962-03-20	E05
6303	6409	1	Bang WiRo	1961-02-28	B07
6304	443	1	Su HwangmokYeong	1968-01-27	A10
6305	6360	1	Kan BeonRa	1959-12-05	A07
6306	44285	1	Wang YongKuk	1994-01-08	E02
6307	18287	1	Jegal HaePan	1995-01-21	A10
6308	24540	1	Kam DeungCho	2001-07-20	C03
6309	37885	1	Pan YuWang	1999-07-22	D10
6310	31434	1	Kwan SeonuBeom	1956-09-28	A04
6311	2202	1	Mangjeol PyoKyo	1968-10-25	E03
6312	14951	1	Eogeum SangTong	2014-02-03	D01
6313	13041	1	Hwa RyeomSon	1960-12-20	D02
6314	49160	1	Sun RyangNa	1988-10-24	A07
6315	29573	1	Namgung TongJeup	1957-06-17	D05
6316	46948	1	Ra TongEo	1987-09-06	B02
6317	25415	1	Jang JanggokYuk	1996-05-27	B05
6318	20339	1	Jo RyeoRi	1968-01-29	D06
6319	1150	1	Gwok KunKwak	1957-09-03	A09
6320	34766	1	Beon RanYo	2015-01-25	A04
6321	10726	1	Baek NuRo	1964-12-03	E09
6322	37599	1	Ong HakKan	1986-04-23	E10
6323	49727	1	Seol HakJanggok	1957-02-21	D10
6324	5627	1	Mae SonKim	2012-07-31	E08
6325	15494	1	Wan KunOn	1970-05-25	D02
6326	40273	2	Jeon YongBeon	2019-09-27	D07
6327	44987	1	Kye JeungU	1973-05-18	C01
6328	9256	1	Rim RiBang	2004-11-04	A09
6329	20160	1	Kwae KimWang	2006-05-18	B09
6330	37182	1	Yeop HeoJong	1951-12-03	D03
6331	46376	1	Im SeonuSun	2005-11-30	E09
6332	35408	1	Kuk BaekMyo	2011-04-07	B01
6333	2444	1	Pung MunCho	1995-04-21	C07
6334	17911	1	Ki NaSobong	2013-12-14	A07
6335	25851	1	Ha IJegal	1951-04-23	E03
6336	8113	1	Jin HwaEun	2014-02-20	B09
6337	42071	1	Eum JeomHwang	1953-03-13	D03
6338	16221	1	Tokko SipYuk	1979-06-29	A03
6339	5080	1	Man ByeonWang	1989-11-22	B07
6340	9323	1	Bin KunKye	1967-07-20	E04
6341	47224	1	Baek ManA	1957-04-16	D05
6342	36722	1	Ham ChoHyeong	1986-11-01	B06
6343	32683	1	Mo JunRo	2001-05-04	E03
6344	44885	1	Jong SeonuSon	2010-11-20	D03
6345	44635	1	Seon MoSang	2013-01-07	A05
6346	43566	1	Sobong JangJeon	1964-12-20	C05
6347	27162	1	Pyeong WangYo	1956-03-01	E09
6348	46304	1	Kuk MyeongTam	1988-07-16	C01
6349	19409	1	Cheon JeonOn	1999-10-28	C03
6350	5241	1	Tok PyeongKu	1987-11-06	C01
6351	8856	1	Chun YaBae	1985-04-16	D10
6352	17399	1	Choe EogeumBin	1984-08-31	C10
6353	10045	1	Hong MukMae	2007-05-18	B08
6354	20121	1	Janggok RimRu	1951-04-20	D03
6355	38032	1	Tang WiRo	1963-07-16	E09
6356	41884	1	Jeom KuKun	2002-05-28	A07
6357	49249	1	Geun HwangmokSin	1953-04-06	B01
6358	11493	1	Sin WangBong	1962-11-07	E09
6359	32955	1	Kuk BaeMuk	2012-05-13	D09
6360	44461	1	Janggok BoTae	2006-02-03	C08
6361	14773	1	Mi BongRyang	1982-03-01	B06
6362	25363	1	Mi HeoYeon	1954-11-15	B10
6363	32600	2	Kwae SonKong	2019-01-22	E09
6364	32846	1	Chang HyeongTan	1967-08-06	C10
6365	43433	2	Hu PyoSo	2021-02-28	B07
6366	35729	1	Han InRoe	2002-06-09	E01
6367	46532	1	Kangjŏn KunSa	1954-10-22	E04
6368	29449	3	Kun OnHam	2023-01-26	D06
6369	26897	1	Wang TuBong	1987-01-25	A04
6370	17664	1	Pyo NamKang	1967-02-22	E04
6371	13619	1	Un HwangmokPyo	2012-12-10	A07
6372	19760	2	Chang HwaBeon	2018-01-12	C10
6373	48596	1	Yeom IMubon	2009-05-02	A06
6374	3411	1	O HaTon	1961-06-02	D10
6375	49307	1	Ham RyukYeop	1990-06-06	B01
6376	8992	2	Je GyeongYeop	2017-10-18	E05
6377	19748	1	Kae BangHo	1974-11-12	D05
6378	47762	1	Nam YongRyuk	1986-03-02	C08
6379	28569	1	Yeon SanRyeo	1998-12-21	C02
6380	47958	1	Nu PyoKung	1985-06-07	B03
6381	16975	1	Ryeom ChuHyeon	1976-03-03	A03
6382	18271	1	Tong DeungMi	2015-03-08	D06
6383	32915	1	Na KuYeom	1976-01-13	E03
6384	33055	1	Seol BakPyeong	1990-09-09	D10
6385	42807	1	Kong BaeKang	1998-04-15	A02
6386	1283	1	Mun KiKye	2014-06-19	A07
6387	17147	1	Myo YeonJu	2013-12-03	B04
6388	46701	1	Tokko GeumRoe	1976-02-15	E09
6389	7981	1	So WangBeon	2014-11-26	D04
6390	3769	1	Wan HeoJang	1980-01-13	A02
6391	42956	1	Kyo UnIm	2010-12-09	D10
6392	45049	1	Ban KuPyeong	2004-01-17	D01
6393	3216	3	Myeong SaPil	2022-08-25	B03
6394	38338	1	Ryu TanMok	2014-12-20	E06
6395	35004	1	Janggok PanPung	2009-12-18	D09
6396	28412	1	Ji KwanJeup	1990-04-26	B08
6397	36015	1	Nang ManTa	1974-05-11	E01
6398	49777	3	Rim KongPyeong	2021-11-23	A03
6399	21384	1	Mae SeopSeop	1963-06-25	C09
6400	37735	1	U BongYeon	2012-09-21	E07
6401	3847	1	Nan HaSeung	1999-05-26	C04
6402	30777	1	Beon EomJegal	1962-12-13	C07
6403	29442	1	Ong GyeongMun	1967-02-13	B05
6404	30666	1	Sin NoJeung	1955-11-27	B09
6405	38670	1	Bin YeoKangjŏn	1987-11-25	B08
6406	24579	1	Kwae MaengKye	1961-09-30	C07
6407	27028	1	Im KukRo	1975-08-27	E10
6408	30492	2	Sobong WonHwangbo	2017-11-07	A05
6409	37237	1	Seonu HuHwan	1957-07-04	C10
6410	23632	1	Mok GeumRa	2007-02-11	B09
6411	17468	1	Sip JaYun	2002-10-21	A08
6412	10548	1	Hwangbo TaHwan	1990-01-05	E06
6413	43916	1	Myo TaYa	2013-02-21	E03
6414	35940	1	Yeom EogeumMyeong	1971-02-28	E07
6415	49433	1	Jeup SeolKong	1975-05-20	A06
6416	6736	1	Ton SeonHeung	1967-09-29	B01
6417	10934	1	Kung SinSeung	2003-06-10	A07
6418	49709	1	Nae AeMyo	1995-02-11	A02
6419	28612	1	Po BokNae	1966-07-09	C10
6420	28780	1	Man PoTongbang	1970-05-27	D02
6421	35341	1	Ra WiKi	1961-06-16	C01
6422	9542	1	Mangjeol ChunTan	2003-04-17	A07
6423	35516	1	Jong JeupYong	1970-09-17	A08
6424	42973	1	Bok TonMo	1995-10-30	D06
6425	26573	1	Tan GeunHak	1961-08-18	E09
6426	46467	1	Myeong KiKo	2007-09-13	E01
6427	35901	1	Tang YukKung	2011-08-14	A10
6428	21431	1	Tan BeomTang	1985-03-30	B09
6429	24931	1	Geun KokEom	1960-01-15	C06
6430	4973	1	Beon WangHu	1969-04-20	D09
6431	5436	1	Ok BakWi	1997-12-20	C08
6432	37596	1	Eun SuKu	1953-09-19	A06
6433	1878	1	Heo BakPo	1998-11-13	E06
6434	47928	1	Ran ChoeSi	1998-01-25	A01
6435	12353	1	Na MiBae	1979-08-21	A03
6436	33985	1	Jong JeungWan	1967-09-30	E10
6437	14230	1	Mi PiSeon	1958-06-12	C10
6438	13090	1	No BeomRyuk	1968-01-03	E07
6439	16004	1	Ko YoDeungjeong	1988-08-05	C01
6440	19922	1	Maeng KyeSim	1989-07-14	D08
6441	43171	1	Ku SagongO	1953-02-24	E07
6442	25410	1	Eum YukMae	1967-12-10	A03
6443	14259	1	Kung TanTang	2011-01-03	B01
6444	5049	1	Deungjeong KwaeKam	1959-05-18	C07
6445	5079	2	Chae PaengChang	2018-08-30	A07
6446	32191	1	Won HamNae	1998-08-21	B09
